2008-11-01 11:11:39 startup packages remove
2008-11-01 11:11:39 status installed sun-java5-bin 1.5.0-16-3
2008-11-01 11:11:39 status installed sun-java5-jre 1.5.0-16-3
2008-11-01 11:11:39 status installed sun-java5-bin 1.5.0-16-3
2008-11-01 11:11:39 status installed sun-java5-jre 1.5.0-16-3
2008-11-01 11:11:39 status installed sun-java5-bin 1.5.0-16-3
2008-11-01 11:11:39 status installed sun-java5-jre 1.5.0-16-3
2008-11-01 11:11:39 status installed sun-java5-bin 1.5.0-16-3
2008-11-01 11:11:39 status installed sun-java5-jre 1.5.0-16-3
2008-11-01 11:11:39 status installed sun-java5-bin 1.5.0-16-3
2008-11-01 11:11:39 status installed sun-java5-jre 1.5.0-16-3
2008-11-01 11:11:39 status installed sun-java5-bin 1.5.0-16-3
2008-11-01 11:11:39 status installed sun-java5-jre 1.5.0-16-3
2008-11-01 11:11:39 status installed sun-java5-bin 1.5.0-16-3
2008-11-01 11:11:43 remove sun-java5-bin 1.5.0-16-3 1.5.0-16-3
2008-11-01 11:11:43 status half-configured sun-java5-bin 1.5.0-16-3
2008-11-01 11:11:44 status half-installed sun-java5-bin 1.5.0-16-3
2008-11-01 11:11:45 status triggers-pending menu 2.1.40
2008-11-01 11:11:45 status half-installed sun-java5-bin 1.5.0-16-3
2008-11-01 11:11:48 status triggers-awaited menu 2.1.40
2008-11-01 11:11:51 status config-files sun-java5-bin 1.5.0-16-3
2008-11-01 11:11:51 status config-files sun-java5-bin 1.5.0-16-3
2008-11-01 11:11:52 status installed sun-java5-jre 1.5.0-16-3
2008-11-01 11:11:54 remove sun-java5-jre 1.5.0-16-3 1.5.0-16-3
2008-11-01 11:11:54 status half-configured sun-java5-jre 1.5.0-16-3
2008-11-01 11:11:57 status half-installed sun-java5-jre 1.5.0-16-3
2008-11-01 11:12:02 status config-files sun-java5-jre 1.5.0-16-3
2008-11-01 11:12:03 status config-files sun-java5-jre 1.5.0-16-3
2008-11-01 11:12:03 trigproc menu 2.1.40 2.1.40
2008-11-01 11:12:03 status half-configured menu 2.1.40
2008-11-01 11:12:04 status installed menu 2.1.40
2008-11-01 11:12:25 startup packages purge
2008-11-01 11:12:25 status config-files sun-java5-bin 1.5.0-16-3
2008-11-01 11:12:25 remove sun-java5-bin 1.5.0-16-3 1.5.0-16-3
2008-11-01 11:12:25 purge sun-java5-bin 1.5.0-16-3 1.5.0-16-3
2008-11-01 11:12:25 status config-files sun-java5-bin 1.5.0-16-3
2008-11-01 11:12:25 status config-files sun-java5-bin 1.5.0-16-3
2008-11-01 11:12:25 status config-files sun-java5-bin 1.5.0-16-3
2008-11-01 11:12:25 status triggers-pending menu 2.1.40
2008-11-01 11:12:25 status triggers-awaited menu 2.1.40
2008-11-01 11:12:25 status config-files sun-java5-bin 1.5.0-16-3
2008-11-01 11:12:25 status config-files sun-java5-bin 1.5.0-16-3
2008-11-01 11:12:25 status not-installed sun-java5-bin <none>
2008-11-01 11:12:25 trigproc menu 2.1.40 2.1.40
2008-11-01 11:12:25 status half-configured menu 2.1.40
2008-11-01 11:12:26 status installed menu 2.1.40
2008-11-01 11:12:26 startup packages purge
2008-11-01 11:12:26 status config-files sun-java5-jre 1.5.0-16-3
2008-11-01 11:12:26 remove sun-java5-jre 1.5.0-16-3 1.5.0-16-3
2008-11-01 11:12:26 purge sun-java5-jre 1.5.0-16-3 1.5.0-16-3
2008-11-01 11:12:26 status config-files sun-java5-jre 1.5.0-16-3
2008-11-01 11:12:26 status config-files sun-java5-jre 1.5.0-16-3
2008-11-01 11:12:26 status config-files sun-java5-jre 1.5.0-16-3
2008-11-01 11:12:29 status config-files sun-java5-jre 1.5.0-16-3
2008-11-01 11:12:29 status config-files sun-java5-jre 1.5.0-16-3
2008-11-01 11:12:29 status not-installed sun-java5-jre <none>
2009-01-30 12:07:20 startup archives install
2009-01-30 12:07:23 upgrade blender 2.46 2.48a
2009-01-30 12:07:23 status half-configured blender 2.46
2009-01-30 12:07:23 status unpacked blender 2.46
2009-01-30 12:07:24 status half-installed blender 2.46
2009-01-30 12:07:24 status half-installed blender 2.46
2009-01-30 12:07:25 status unpacked blender 2.48a
2009-01-30 12:07:25 status unpacked blender 2.48a
2009-01-30 12:07:25 configure blender 2.48a 2.48a
2009-01-30 12:07:25 status unpacked blender 2.48a
2009-01-30 12:07:26 status half-configured blender 2.48a
2009-01-30 12:07:26 status installed blender 2.48a
2009-01-30 12:07:49 startup archives install
2009-01-30 12:07:49 install gimp-painter <none> 2.6.4
2009-01-30 12:07:49 status half-installed gimp-painter 2.6.4
2009-01-30 12:07:54 status triggers-pending man-db 2.5.2-2
